name,runtime,objective_value,solver_time_seconds,intra_rack_epr,cross_rack_epr,distilled_epr,split_consumed,batched_epr,collective_batches,avg_epr_wait,peak_buffer,avg_buffer,wait_time,switch_reconfiguration,retry_overhead_hook,split_ratio,latency_local_gate,latency_intra_rack_epr,latency_cross_rack_epr,latency_switch_reconfiguration,latency_wait_time,latency_retry_overhead_hook,latency_distillation,buffer_qubits,comm_qubits
buf_1_comm_1,70,87.0,0.000973499999872729,16,5,0,10,0,0,0.0,4,1.4761904761904763,5.0,12,5.0,1.0,24.0,32.0,35.0,12,5.0,5.0,0.0,1,1
buf_1_comm_2,70,87.0,0.005398447000061424,16,5,0,10,0,0,0.0,4,1.4761904761904763,5.0,12,5.0,1.0,24.0,32.0,35.0,12,5.0,5.0,0.0,1,2
buf_1_comm_3,70,87.0,0.0009150229998340365,16,5,0,10,0,0,0.0,4,1.4761904761904763,5.0,12,5.0,1.0,24.0,32.0,35.0,12,5.0,5.0,0.0,1,3
buf_2_comm_1,72,84.0,0.0008953199999268691,17,5,0,10,10,5,4.238095238095238,8,4.0,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,2,1
buf_2_comm_2,72,84.0,0.0011171380001542275,17,5,0,10,10,5,4.238095238095238,8,4.0,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,2,2
buf_2_comm_3,72,84.0,0.0008608599996478006,17,5,0,10,10,5,4.238095238095238,8,4.0,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,2,3
buf_3_comm_1,72,84.0,0.0009286660001635028,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,3,1
buf_3_comm_2,72,84.0,0.00608760400018582,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,3,2
buf_3_comm_3,72,84.0,0.002091440999720362,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,3,3
buf_4_comm_1,72,84.0,0.0009548269999868353,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,4,1
buf_4_comm_2,72,84.0,0.0008913130000109959,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,4,2
buf_4_comm_3,72,84.0,0.0010295080001014867,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,4,3
