name,runtime,objective_value,solver_time_seconds,intra_rack_epr,cross_rack_epr,distilled_epr,split_consumed,batched_epr,collective_batches,avg_epr_wait,peak_buffer,avg_buffer,wait_time,switch_reconfiguration,retry_overhead_hook,split_ratio,latency_local_gate,latency_intra_rack_epr,latency_cross_rack_epr,latency_switch_reconfiguration,latency_wait_time,latency_retry_overhead_hook,latency_distillation,buffer_qubits,comm_qubits
buf_1_comm_1,70,87.0,0.0008626359999652777,16,5,0,10,0,0,0.0,4,1.4761904761904763,5.0,12,5.0,1.0,24.0,32.0,35.0,12,5.0,5.0,0.0,1,1
buf_1_comm_2,70,87.0,0.0006455109999023989,16,5,0,10,0,0,0.0,4,1.4761904761904763,5.0,12,5.0,1.0,24.0,32.0,35.0,12,5.0,5.0,0.0,1,2
buf_1_comm_3,70,87.0,0.0006094149998716603,16,5,0,10,0,0,0.0,4,1.4761904761904763,5.0,12,5.0,1.0,24.0,32.0,35.0,12,5.0,5.0,0.0,1,3
buf_2_comm_1,72,84.0,0.0006324430000859138,17,5,0,10,10,5,4.238095238095238,8,4.0,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,2,1
buf_2_comm_2,72,84.0,0.0006533700000090903,17,5,0,10,10,5,4.238095238095238,8,4.0,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,2,2
buf_2_comm_3,72,84.0,0.0006526170000142884,17,5,0,10,10,5,4.238095238095238,8,4.0,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,2,3
buf_3_comm_1,72,84.0,0.0005825620000905474,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,3,1
buf_3_comm_2,72,84.0,0.0005929559999913181,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,3,2
buf_3_comm_3,72,84.0,0.000594247999970321,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,3,3
buf_4_comm_1,72,84.0,0.0005909720000545349,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,4,1
buf_4_comm_2,72,84.0,0.000616587000195068,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,4,2
buf_4_comm_3,72,84.0,0.0006004020001455501,17,5,0,10,14,6,6.333333333333333,10,5.3023255813953485,7.0,12,0.0,1.0,24.0,34.0,35.0,12,7.0,0.0,0.0,4,3
